task_id	dataset_name	dataset_dir	storage_dir	prot_p_conc	prot_cooperativity
30	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	100.0	0.0
31	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	100.0	4.5
32	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	500.0	0.0
33	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	500.0	4.5
34	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	1000.0	0.0
35	ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ctrl05_unbound_prom_yazdi_stable147_refined	1000.0	4.5
36	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	0.0	0.0
37	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	100.0	0.0
38	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	100.0	4.5
39	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	500.0	0.0
40	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	500.0	4.5
41	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	1000.0	0.0
42	ret_all_stable147_refined	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ret_all_stable147_refined	/group/pol_schiessel/Manish/Spermatogensis/output/markov_sweep_stable147/ret_all_stable147_refined	1000.0	4.5
