p_conc,coop,k_bind,metric,half_life,decay_rate
0.01,5.0,0.01,0.17967018683389657,0.0,-0.7991889324023275
0.01,5.0,0.1,0.1849867362876721,0.0,-0.8054072627382856
0.01,5.0,1.0,0.24314378461701955,0.5351193674675674,-0.7468020496039155
0.01,5.0,10.0,0.3787757241294032,0.8286393562545722,-0.5608956217200425
0.01,5.0,100.0,0.47997456256464915,0.659193364188255,-0.2518370822729723
0.01,5.0,1000.0,0.47343984726902644,0.598168012534651,-0.14939223762537218
0.1,5.0,0.01,0.1849867362876721,0.0,-0.8054072627382856
0.1,5.0,0.1,0.24314378461701955,0.5351193674675674,-0.7468020496039155
0.1,5.0,1.0,0.3787757241294032,0.8286393562545722,-0.5608956217200425
0.1,5.0,10.0,0.47997456256464915,0.659193364188255,-0.2518370822729723
0.1,5.0,100.0,0.47343984726902644,0.598168012534651,-0.14939223762537218
0.1,5.0,1000.0,0.4722043687229431,0.5193603921683057,-0.13449943270294987
0.0,5.0,0.01,,,
0.0,5.0,0.1,,,
0.0,5.0,1.0,,,
0.0,5.0,10.0,,,
0.0,5.0,100.0,,,
0.0,5.0,1000.0,,,
1.0,5.0,0.01,0.24314378461701955,0.5351193674675674,-0.7468020496039155
1.0,5.0,0.1,0.3787757241294032,0.8286393562545722,-0.5608956217200425
1.0,5.0,1.0,0.47997456256464915,0.659193364188255,-0.2518370822729723
1.0,5.0,10.0,0.47343984726902644,0.598168012534651,-0.14939223762537218
1.0,5.0,100.0,0.4722043687229431,0.5193603921683057,-0.13449943270294987
1.0,5.0,1000.0,0.47162282922915744,0.5054502602376509,-0.13506979692557014
10.0,5.0,0.01,0.3787757241294032,0.8286393562545722,-0.5608956217200425
10.0,5.0,0.1,0.47997456256464915,0.659193364188255,-0.2518370822729723
10.0,5.0,1.0,0.47343984726902644,0.598168012534651,-0.14939223762537218
10.0,5.0,10.0,0.4722043687229431,0.5193603921683057,-0.13449943270294987
10.0,5.0,100.0,0.47162282922915744,0.5054502602376509,-0.13506979692557014
10.0,5.0,1000.0,0.47188315811652276,0.503825779870512,-0.13486458442892807
100.0,5.0,0.01,0.47997456256464915,0.659193364188255,-0.2518370822729723
100.0,5.0,0.1,0.47343984726902644,0.598168012534651,-0.14939223762537218
100.0,5.0,1.0,0.4722043687229431,0.5193603921683057,-0.13449943270294987
100.0,5.0,10.0,0.47162282922915744,0.5054502602376509,-0.13506979692557014
100.0,5.0,100.0,0.47188315811652276,0.503825779870512,-0.13486458442892807
100.0,5.0,1000.0,0.47188353296193064,0.503825779870512,-0.13486440883873552
0.001,7.5,0.01,0.1785460586972518,0.0,-0.7990495749852631
0.001,7.5,0.1,0.17967022150493278,0.0,-0.7991895497824478
0.001,7.5,1.0,0.18430067968461536,0.0,-0.8075906531377974
0.001,7.5,10.0,0.24274930001977424,0.5310645791065344,-0.7488466735220686
0.001,7.5,100.0,0.3787357677072984,0.8265515824085492,-0.5613387876380823
0.001,7.5,1000.0,0.4827791129879135,0.6517060046471812,-0.25970486094998285
0.01,7.5,0.01,0.17967022150493278,0.0,-0.7991895497824478
0.01,7.5,0.1,0.18430067968461536,0.0,-0.8075906531377974
0.01,7.5,1.0,0.24274930001977424,0.5310645791065344,-0.7488466735220686
0.01,7.5,10.0,0.3787357677072984,0.8265515824085492,-0.5613387876380823
0.01,7.5,100.0,0.4827791129879135,0.6517060046471812,-0.25970486094998285
0.01,7.5,1000.0,0.4732595531506817,0.5980380428280895,-0.13883365295031225
0.1,7.5,0.01,0.18430067968461536,0.0,-0.8075906531377974
0.1,7.5,0.1,0.24274930001977424,0.5310645791065344,-0.7488466735220686
0.1,7.5,1.0,0.3787357677072984,0.8265515824085492,-0.5613387876380823
